Название вакансии;Название компании;Зарплата;Ссылка на вакансию
Инженер-программист АСУ ТП;Латат;Инженер-программист АСУ ТП;https://tomsk.hh.ru/vacancy/109807420?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С;Национальный исследовательский Томский политехнический университет;Программист 1С;https://tomsk.hh.ru/vacancy/97100558?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С в IT-компанию;ООО ИЦ КонсультантЪ;Программист 1С в IT-компанию;https://tomsk.hh.ru/vacancy/93180931?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С;АО ТомскНИПИнефть;Программист 1С;https://tomsk.hh.ru/vacancy/108404165?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист;ПАО Россети Томск;Ведущий инженер-программист;https://tomsk.hh.ru/vacancy/110592980?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик С++;АО ИнфоТеКС;Backend-разработчик С++;https://tomsk.hh.ru/vacancy/110283390?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Game Developer;Siberteam;Сейчас смотрит 1 человек;https://tomsk.hh.ru/vacancy/110621436?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер - программист 1С;АО НПЦ Полюс;Инженер - программист 1С;https://tomsk.hh.ru/vacancy/108493874?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Математик-программист;Алабуга. Проектный менеджмент;Математик-программист;https://tomsk.hh.ru/vacancy/109129045?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Erlang разработчик;UserGate;Erlang разработчик;https://tomsk.hh.ru/vacancy/95684202?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
